"id","geom","heigh","id_shp","nm_village","nm_town","nm_county","nm_busi_in","dis_tam","area"
247118,"MULTIPOLYGON (((116.44710420233497 39.88640054412567, 116.44710421273803 39.88631822539144, 116.44656628760603 39.88632531408214, 116.44656626055496 39.88653934256392, 116.446657706778 39.886539536206094, 116.446657723944 39.88640371051513, 116.44710420233497 39.88640054412567)))","6",636.0,垂杨柳西里社区,双井街道,朝阳区,劲松,5230.336978492697,0.206902373592734
247126,"MULTIPOLYGON (((116.44710419141305 39.88648697869202, 116.44709881835203 39.88643757604347, 116.44675992012601 39.886473898122055, 116.44677604687901 39.88656036685512, 116.44698046101396 39.886540221941296, 116.44697508590099 39.886507283067175, 116.44710419141305 39.88648697869202)))","6",636.0,垂杨柳西里社区,双井街道,朝阳区,劲松,5230.336978492697,0.206902373592734
247197,"MULTIPOLYGON (((116.45134881085599 39.88669390184023, 116.45120892499301 39.88669358409547, 116.45120353387497 39.88678000610058, 116.451343419709 39.88678032382136, 116.45134881085599 39.88669390184023)))","6",635.0,垂杨柳东里社区,双井街道,朝阳区,劲松,5637.267100513695,0.269171580056667
247246,"MULTIPOLYGON (((116.44007447673397 39.88692559572227, 116.44007987779304 39.88674038999001, 116.43998845817103 39.88674433392541, 116.439972303018 39.8869212876505, 116.44007447673397 39.88692559572227)))","6",90200.0,和平村一社区,双井街道,朝阳区,劲松,4899.256316652449,0.101328841447294
247256,"MULTIPOLYGON (((116.442784957864 39.88695141449828, 116.44279035541298 39.886799136649635, 116.44251068555505 39.88680681535202, 116.44250529900997 39.88687265926794, 116.442392356873 39.886872436723024, 116.44238696827303 39.88695474420581, 116.442784957864 39.88695141449828)))","6",637.0,广和里社区,双井街道,朝阳区,劲松,4859.430144353627,0.274446675275445
247397,"MULTIPOLYGON (((116.44182761431699 39.88719237091354, 116.44174694381 39.887192213907575, 116.44174155536804 39.88727452113839, 116.441827603378 39.88727880448477, 116.44182761431699 39.88719237091354)))","6",637.0,广和里社区,双井街道,朝阳区,劲松,4859.430144353627,0.274446675275445
247548,"MULTIPOLYGON (((116.45238713842996 39.88733012817843, 116.452387154008 39.887206651667896, 116.451671562411 39.887209125248084, 116.451596238198 39.887208953308644, 116.45159622936896 39.887278923354046, 116.45167155358196 39.887279095293486, 116.45228491666397 39.88727638612237, 116.45229029035195 39.88732990497501, 116.45229025036804 39.88764682701704, 116.45238709844799 39.88764705022028, 116.45238713842996 39.88733012817843)))","6",635.0,垂杨柳东里社区,双井街道,朝阳区,劲松,5637.267100513695,0.269171580056667
247552,"MULTIPOLYGON (((116.43927856663703 39.88723691712373, 116.43905271854098 39.88722415199842, 116.439047331293 39.88730234384812, 116.43900964769898 39.88763565995652, 116.43926775918396 39.8876526002433, 116.43927852649598 39.88755383947041, 116.43930544532199 39.88730282106461, 116.43931083055097 39.887241092804594, 116.43927856663703 39.88723691712373)))","6",637.0,广和里社区,双井街道,朝阳区,劲松,4859.430144353627,0.274446675275445
247634,"MULTIPOLYGON (((116.447539754109 39.88779264924067, 116.447367613857 39.88779227979238, 116.44736760293497 39.88787871263282, 116.44753974318805 39.88787908208111, 116.44762043436303 39.88787925560551, 116.44762044528399 39.88779282276516, 116.447539754109 39.88779264924067)))","6",636.0,垂杨柳西里社区,双井街道,朝阳区,劲松,5230.336978492697,0.206902373592734
247644,"MULTIPOLYGON (((116.44140805072396 39.88782540080089, 116.44113915541502 39.887824882546035, 116.44113914499401 39.887907199486406, 116.44140804030403 39.88790771774127, 116.44140805072396 39.88782540080089)))","6",90200.0,和平村一社区,双井街道,朝阳区,劲松,4899.256316652449,0.101328841447294
247660,"MULTIPOLYGON (((116.44851342405597 39.887967623309684, 116.44851343341499 39.88789353811651, 116.447996994209 39.887900647524056, 116.448002364356 39.887974744352995, 116.44851342405597 39.887967623309684)))","6",636.0,垂杨柳西里社区,双井街道,朝阳区,劲松,5230.336978492697,0.206902373592734
247752,"MULTIPOLYGON (((116.45347389858196 39.88824637226099, 116.45346852983802 39.88815169561002, 116.45330172819202 39.88815953749041, 116.45329633664304 39.888245957331385, 116.45347389858196 39.88824637226099)))","6",635.0,垂杨柳东里社区,双井街道,朝阳区,劲松,5637.267100513695,0.269171580056667
