mmac	est_utc	est	qiuqian1
581a328bcacf4f209f976608d047e677	1615887000	2021/3/16 17:30:00	26
581a328bcacf4f209f976608d047e677	1615887120	2021/3/16 17:32:00	25
581a328bcacf4f209f976608d047e677	1615887300	2021/3/16 17:35:00	28
581a328bcacf4f209f976608d047e677	1615887780	2021/3/16 17:43:00	26
581a328bcacf4f209f976608d047e677	1615887840	2021/3/16 17:44:00	25
581a328bcacf4f209f976608d047e677	1615889100	2021/3/16 18:05:00	26
581a328bcacf4f209f976608d047e677	1615889160	2021/3/16 18:06:00	29
581a328bcacf4f209f976608d047e677	1615889220	2021/3/16 18:07:00	31
581a328bcacf4f209f976608d047e677	1615889280	2021/3/16 18:08:00	31
581a328bcacf4f209f976608d047e677	1615889340	2021/3/16 18:09:00	25
581a328bcacf4f209f976608d047e677	1615889520	2021/3/16 18:12:00	27
581a328bcacf4f209f976608d047e677	1615889580	2021/3/16 18:13:00	26
581a328bcacf4f209f976608d047e677	1615891860	2021/3/16 18:51:00	25
581a328bcacf4f209f976608d047e677	1615896240	2021/3/16 20:04:00	25
581a328bcacf4f209f976608d047e677	1615897620	2021/3/16 20:27:00	25
581a328bcacf4f209f976608d047e677	1615899240	2021/3/16 20:54:00	27
581a328bcacf4f209f976608d047e677	1615902180	2021/3/16 21:43:00	25
581a328bcacf4f209f976608d047e677	1615934940	2021/3/17 06:49:00	25
581a328bcacf4f209f976608d047e677	1615935060	2021/3/17 06:51:00	27
581a328bcacf4f209f976608d047e677	1615935480	2021/3/17 06:58:00	25
581a328bcacf4f209f976608d047e677	1615935840	2021/3/17 07:04:00	25
581a328bcacf4f209f976608d047e677	1615936860	2021/3/17 07:21:00	26
581a328bcacf4f209f976608d047e677	1615937880	2021/3/17 07:38:00	26
581a328bcacf4f209f976608d047e677	1615938120	2021/3/17 07:42:00	26
581a328bcacf4f209f976608d047e677	1615938840	2021/3/17 07:54:00	29
581a328bcacf4f209f976608d047e677	1615939200	2021/3/17 08:00:00	27
581a328bcacf4f209f976608d047e677	1615943400	2021/3/17 09:10:00	27
581a328bcacf4f209f976608d047e677	1615943640	2021/3/17 09:14:00	26
581a328bcacf4f209f976608d047e677	1615943700	2021/3/17 09:15:00	27
581a328bcacf4f209f976608d047e677	1615943760	2021/3/17 09:16:00	25
581a328bcacf4f209f976608d047e677	1615944420	2021/3/17 09:27:00	26
581a328bcacf4f209f976608d047e677	1615944480	2021/3/17 09:28:00	26
581a328bcacf4f209f976608d047e677	1615944960	2021/3/17 09:36:00	25
581a328bcacf4f209f976608d047e677	1615945080	2021/3/17 09:38:00	29
581a328bcacf4f209f976608d047e677	1615945140	2021/3/17 09:39:00	26
581a328bcacf4f209f976608d047e677	1615945200	2021/3/17 09:40:00	25
581a328bcacf4f209f976608d047e677	1615945500	2021/3/17 09:45:00	27
581a328bcacf4f209f976608d047e677	1615945560	2021/3/17 09:46:00	27
581a328bcacf4f209f976608d047e677	1615945620	2021/3/17 09:47:00	27
581a328bcacf4f209f976608d047e677	1615945680	2021/3/17 09:48:00	28
581a328bcacf4f209f976608d047e677	1615945740	2021/3/17 09:49:00	27
581a328bcacf4f209f976608d047e677	1615945800	2021/3/17 09:50:00	27
581a328bcacf4f209f976608d047e677	1615945860	2021/3/17 09:51:00	28
581a328bcacf4f209f976608d047e677	1615945920	2021/3/17 09:52:00	27
581a328bcacf4f209f976608d047e677	1615945980	2021/3/17 09:53:00	27
581a328bcacf4f209f976608d047e677	1615946040	2021/3/17 09:54:00	26
581a328bcacf4f209f976608d047e677	1615946100	2021/3/17 09:55:00	26
581a328bcacf4f209f976608d047e677	1615946160	2021/3/17 09:56:00	27
581a328bcacf4f209f976608d047e677	1615946220	2021/3/17 09:57:00	29
581a328bcacf4f209f976608d047e677	1615946280	2021/3/17 09:58:00	27
581a328bcacf4f209f976608d047e677	1615946340	2021/3/17 09:59:00	28
581a328bcacf4f209f976608d047e677	1615946400	2021/3/17 10:00:00	28
581a328bcacf4f209f976608d047e677	1615946459	2021/3/17 10:00:59	28
581a328bcacf4f209f976608d047e677	1615946520	2021/3/17 10:02:00	28
581a328bcacf4f209f976608d047e677	1615946640	2021/3/17 10:04:00	26
581a328bcacf4f209f976608d047e677	1615946760	2021/3/17 10:06:00	25
581a328bcacf4f209f976608d047e677	1615946880	2021/3/17 10:08:00	28
581a328bcacf4f209f976608d047e677	1615947300	2021/3/17 10:15:00	27
581a328bcacf4f209f976608d047e677	1615948260	2021/3/17 10:31:00	25
581a328bcacf4f209f976608d047e677	1615949220	2021/3/17 10:47:00	27
581a328bcacf4f209f976608d047e677	1615949340	2021/3/17 10:49:00	29
581a328bcacf4f209f976608d047e677	1615949400	2021/3/17 10:50:00	28
581a328bcacf4f209f976608d047e677	1615949580	2021/3/17 10:53:00	26
581a328bcacf4f209f976608d047e677	1615949940	2021/3/17 10:59:00	25
581a328bcacf4f209f976608d047e677	1615950480	2021/3/17 11:08:00	29
581a328bcacf4f209f976608d047e677	1615950840	2021/3/17 11:14:00	26
581a328bcacf4f209f976608d047e677	1615950900	2021/3/17 11:15:00	25
581a328bcacf4f209f976608d047e677	1615950960	2021/3/17 11:16:00	25
581a328bcacf4f209f976608d047e677	1615951020	2021/3/17 11:17:00	26
581a328bcacf4f209f976608d047e677	1615952400	2021/3/17 11:40:00	29
581a328bcacf4f209f976608d047e677	1615954500	2021/3/17 12:15:00	26
581a328bcacf4f209f976608d047e677	1615955700	2021/3/17 12:35:00	25
581a328bcacf4f209f976608d047e677	1615956480	2021/3/17 12:48:00	27
581a328bcacf4f209f976608d047e677	1615956540	2021/3/17 12:49:00	26
581a328bcacf4f209f976608d047e677	1615956600	2021/3/17 12:50:00	26
581a328bcacf4f209f976608d047e677	1615958520	2021/3/17 13:22:00	25
581a328bcacf4f209f976608d047e677	1615959120	2021/3/17 13:32:00	26
581a328bcacf4f209f976608d047e677	1615960380	2021/3/17 13:53:00	30
581a328bcacf4f209f976608d047e677	1615960740	2021/3/17 13:59:00	25
581a328bcacf4f209f976608d047e677	1615960800	2021/3/17 14:00:00	27
581a328bcacf4f209f976608d047e677	1615961160	2021/3/17 14:06:00	27
581a328bcacf4f209f976608d047e677	1615962180	2021/3/17 14:23:00	25
581a328bcacf4f209f976608d047e677	1615963140	2021/3/17 14:39:00	26
581a328bcacf4f209f976608d047e677	1615964040	2021/3/17 14:54:00	25
581a328bcacf4f209f976608d047e677	1615965720	2021/3/17 15:22:00	28
581a328bcacf4f209f976608d047e677	1615965780	2021/3/17 15:23:00	25
581a328bcacf4f209f976608d047e677	1615966140	2021/3/17 15:29:00	26
581a328bcacf4f209f976608d047e677	1615967640	2021/3/17 15:54:00	26
581a328bcacf4f209f976608d047e677	1615967820	2021/3/17 15:57:00	27
581a328bcacf4f209f976608d047e677	1615968180	2021/3/17 16:03:00	28
581a328bcacf4f209f976608d047e677	1615968480	2021/3/17 16:08:00	35
581a328bcacf4f209f976608d047e677	1615968540	2021/3/17 16:09:00	27
581a328bcacf4f209f976608d047e677	1615969200	2021/3/17 16:20:00	26
581a328bcacf4f209f976608d047e677	1615969440	2021/3/17 16:24:00	25
581a328bcacf4f209f976608d047e677	1615969920	2021/3/17 16:32:00	26
581a328bcacf4f209f976608d047e677	1615969980	2021/3/17 16:33:00	26
581a328bcacf4f209f976608d047e677	1615970280	2021/3/17 16:38:00	28
581a328bcacf4f209f976608d047e677	1615970760	2021/3/17 16:46:00	25
581a328bcacf4f209f976608d047e677	1615971180	2021/3/17 16:53:00	25
581a328bcacf4f209f976608d047e677	1615971240	2021/3/17 16:54:00	25
581a328bcacf4f209f976608d047e677	1615972620	2021/3/17 17:17:00	25
